[E 171127 16:11:23 DataFether:83] timed out
[E 171127 16:11:33 DataFether:83] timed out
[I 171127 16:11:40 DataFether:80] all stock basics updated, total size=3455
[I 171127 16:36:58 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300279&start=20170921&end=20171127&stat=1&order=D&period=d,size=3882, try=0
[I 171127 16:36:58 DataFether:171] 300279,20170921,42 history data download ok.
[I 171127 16:36:59 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600516&start=20170921&end=20171127&stat=1&order=D&period=d,size=4020, try=0
[I 171127 16:36:59 DataFether:171] 600516,20170921,42 history data download ok.
[I 171127 16:36:59 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600259&start=20170921&end=20171127&stat=1&order=D&period=d,size=3915, try=0
[I 171127 16:36:59 DataFether:171] 600259,20170921,42 history data download ok.
[I 171127 16:37:00 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002792&start=20170921&end=20171127&stat=1&order=D&period=d,size=3927, try=0
[I 171127 16:37:00 DataFether:171] 002792,20170921,42 history data download ok.
[I 171127 16:37:01 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_601369&start=20170921&end=20171127&stat=1&order=D&period=d,size=3705, try=0
[I 171127 16:37:01 DataFether:171] 601369,20170921,42 history data download ok.
[I 171127 16:37:02 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300638&start=20170921&end=20171127&stat=1&order=D&period=d,size=3948, try=0
[I 171127 16:37:02 DataFether:171] 300638,20170921,42 history data download ok.
[I 171127 16:37:02 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603993&start=20170921&end=20171127&stat=1&order=D&period=d,size=3850, try=0
[I 171127 16:37:02 DataFether:171] 603993,20170921,42 history data download ok.
[I 171127 16:37:03 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600295&start=20170921&end=20171127&stat=1&order=D&period=d,size=3958, try=0
[I 171127 16:37:03 DataFether:171] 600295,20170921,42 history data download ok.
[I 171127 16:37:04 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002749&start=20170921&end=20171127&stat=1&order=D&period=d,size=3842, try=0
[I 171127 16:37:04 DataFether:171] 002749,20170921,42 history data download ok.
[I 171127 16:37:05 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300176&start=20170921&end=20171127&stat=1&order=D&period=d,size=2511, try=0
[I 171127 16:37:05 DataFether:171] 300176,20170921,26 history data download ok.
[I 171127 16:37:06 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002649&start=20170921&end=20171127&stat=1&order=D&period=d,size=3912, try=0
[I 171127 16:37:06 DataFether:171] 002649,20170921,42 history data download ok.
